ID,Question,Spotlight Spotter+ Spotlight NED,Spotlight Spotter+ AGDISTIS,Alchemy,Lucene Linker,Standford + AGDISTIS,Standford + DbpediaNER,FOX + AGDISTIS,FOX + DbpediaNER
1,Give me all cosmonauts.,0,0,0,0,0,0,0,0
2,Give me the birthdays of all actors of the television show Charmed.,1,0,0,1,0,0,0,0
3,Who is the daughter of Robert Kennedy married to?,1,1,1,1,1,1,1,1
4,Which river does the Brooklyn Bridge cross?,1,1,1,1,1,1,1,1
5,How many countries are there in Europe?,0,0,1,0,0,0,0,0
6,In which city did John F. Kennedy die?,0,0,1,1,1,1,1,1
7,Was the wife of president Lincoln called Mary?,1,1,0,1,1,0,1,0
8,Which states of Germany are governed by the Social Democratic Party?,1,0,0,1,0,1,0,1
9,In which U.S. state is Mount McKinley located?,1,1,1,0,1,1,1,1
10,In which country does the Ganges start?,0,0,0,1,0,0,0,0
11,Which countries have more than ten caves?,1,1,1,0,1,0,1,1
12,Is proinsulin a protein?,1,0,0,1,0,0,0,0
13,Are tree frogs a type of amphibian?,0,0,0,0,0,0,0,0
14,How tall is Amazon Eve?,0,0,0,1,1,0,1,0
15,Who created Goofy?,1,1,0,1,0,0,0,0
16,Give me the capitals of all countries in Africa.,0,0,0,0,0,0,0,0
17,Give me all cities in New Jersey with more than 100000 inhabitants.,1,1,1,1,1,1,1,1
18,Which museum exhibits The Scream by Munch?,1,0,0,1,0,0,0,0
19,Is Egypts largest city also its capital?,0,0,0,1,0,0,0,0
20,How many employees does IBM have?,1,1,0,1,1,1,1,1
21,Which states border Illinois?,1,0,0,1,0,1,0,1
22,In which country is the Limerick Lake?,1,1,1,1,1,1,1,1
23,Which television shows were created by John Cleese?,1,1,1,1,1,1,1,1
24,Which mountain is the highest after the Annapurna?,1,1,1,1,1,1,1,1
25,In which films directed by Garry Marshall was Julia Roberts starring?,1,1,1,1,1,1,1,1
26,Which bridges are of the same type as the Manhattan Bridge?,1,1,1,1,1,1,1,1
27,Was U.S. president Jackson involved in a war?,0,0,0,1,0,0,0,0
28,Give me all communist countries.,0,0,0,1,0,0,0,0
29,Which awards did Douglas Hofstadter win?,1,1,1,1,1,1,1,1
30,Which U.S. state has the highest population density?,0,0,0,0,1,0,1,0
31,What is the currency of the Czech Republic?,1,1,1,1,1,1,1,1
32,Which countries adopted the Euro?,0,0,0,1,0,0,0,0
33,What is the area code of Berlin?,1,1,0,1,1,1,1,1
34,Which countries have more than two official languages?,1,1,1,0,1,0,1,1
35,Who is the owner of Rolls-Royce?,0,0,0,1,0,0,0,0
36,Through which countries does the Yenisei river flow?,1,0,1,1,0,1,0,1
37,When did Latvia join the EU?,1,1,1,1,1,1,1,1
38,Which politicians were married to a German?,1,1,0,1,1,1,0,0
39,When was the Battle of Gettysburg?,0,0,0,1,0,0,0,0
40,What is the highest mountain in Australia?,1,1,0,1,1,1,1,1
41,Give me all soccer clubs in Spain.,1,1,0,1,1,1,1,1
42,What is the official language of Suriname?,1,1,1,1,1,1,1,1
43,Who is the mayor of Tel Aviv?,1,1,1,1,1,1,1,1
44,Who designed the Brooklyn Bridge?,1,1,1,1,1,1,1,1
45,Which telecommunications organizations are located in Belgium?,1,1,0,1,0,0,0,0
46,Is Frank Herbert still alive?,1,1,1,1,1,1,1,1
47,What is the highest place of the Urals?,0,0,0,1,1,1,0,0
48,Who is the editor of Forbes?,1,1,0,1,1,1,1,1
49,Give me all companies in the advertising industry.,0,0,0,1,0,0,0,0
50,What did Bruce Carver die from?,1,1,1,1,1,1,1,1
51,Give me all libraries established earlier than 1400.,1,1,1,0,1,0,1,1
52,Which presidents were born in 1945?,1,1,1,0,1,0,1,1
53,Give me all federal chancellors of Germany.,0,0,0,1,0,0,0,0
54,Who was the wife of U.S. president Lincoln?,1,1,0,1,1,1,1,1
55,Who developed the video game World of Warcraft?,0,0,0,1,0,0,0,0
56,What is the official website of Tom Cruise?,1,1,1,1,1,1,1,1
57,List all episodes of the first season of the HBO television series The Sopranos.,1,0,0,1,0,0,0,0
58,Who produced the most films?,1,1,1,0,1,1,1,1
59,Give me all people with first name Jimmy.,1,1,1,0,0,0,0,1
60,Is there a video game called Battle Chess?,0,1,1,0,1,1,1,1
61,Which mountains are higher than the Nanga Parbat?,1,1,1,1,1,1,1,1
62,Who created Wikipedia?,0,0,0,1,0,1,0,1
63,Give me all actors starring in Last Action Hero.,1,0,0,1,0,0,0,0
64,Which software has been developed by organizations founded in California?,1,1,0,0,1,1,1,1
65,Which companies work in the aerospace industry as well as in medicine?,1,0,0,1,0,0,0,0
66,Is Christian Bale starring in Velvet Goldmine?,1,0,0,1,0,0,0,0
67,Give me the websites of companies with more than 500000 employees.,1,1,1,0,1,1,1,1
68,Which actors were born in Germany?,1,1,0,1,1,1,1,1
69,Which caves have more than 3 entrances?,1,1,1,0,1,1,1,1
70,Give me all films produced by Hal Roach.,1,1,1,1,1,1,1,1
71,Give me all video games published by Mean Hamster Software.,1,1,1,1,0,0,0,0
72,Which languages are spoken in Estonia?,1,1,0,1,1,1,1,1
73,How many Aldi stores are there?,1,1,1,1,0,0,0,0
74,Which capitals in Europe were host cities of the summer olympic games?,0,0,1,0,0,0,0,0
75,Who was the 16th president of the United States?,0,0,0,0,0,0,0,0
76,How many films did Hal Roach produce?,1,1,1,1,1,1,1,1
77,Which music albums contain the song Last Christmas?,0,1,0,0,1,0,1,1
78,Give me all books written by Danielle Steel.,1,1,1,1,1,1,1,1
79,"Which airports are located in California, USA?",1,1,1,1,1,1,1,1
80,Give me all Canadian Grunge record labels.,1,0,0,1,0,0,0,0
81,Which country has the most official languages?,1,1,1,0,1,1,1,1
82,In which programming language is GIMP written?,1,0,0,1,0,0,0,0
83,Who produced films starring Natalie Portman?,1,1,1,1,1,1,1,1
84,Give me all movies with Tom Cruise.,1,1,1,1,1,1,1,1
85,In which films did Julia Roberts as well as Richard Gere play?,1,1,1,1,1,1,1,1
86,Give me all female given names.,0,0,0,1,0,0,0,0
87,Who wrote the book The Pillars of the Earth?,0,0,0,1,0,0,0,0
88,How many films did Leonardo DiCaprio star in?,1,1,1,1,1,1,1,1
